STT;TenNgoaite;Ngoaite;TyGiaNgoaiTe-VND;Thang;Nam
76;JORDANIAN DINAR;JOD;33470;8;2023
77;YEN;JPY;168;8;2023
78;KENYAN SIBLING;KES;167;8;2023
79;SOM;KGS;271;8;2023
80;COMORO FRANC;KMF;53;8;2023
81;NORTH KOREAN WON;KPW;183;8;2023
82;WON;KRW;18;8;2023
83;KUWAITI DINAR;KWD;76656;8;2023
84;CAYMAN ISLANDS DOLLAR;KYD;28631;8;2023
85;TENGE;KZT;53;8;2023
86;RIEL;KHR;6;8;2023
87;KIP;LAK;1;8;2023
88;LIBLAN POUND;LBP;2;8;2023
89;SRILANCA RUPEE;LKR;72;8;2023
90;LIBERIAN DOLLAR;LRD;128;8;2023
91;LOTI;LSL;1352;8;2023
92;LITHUANIAN LITAS;LTL;8338;8;2023
93;LUXEMBOURG FRANC;LUF;520;8;2023
94;LEBANESE DINAR;LYD;5003;8;2023
95;MOROCCAN DIRHAM;MAD;2432;8;2023
96;MOLDOVAN LEU;MDL;1349;8;2023
97;MALAGASY ARIARY;MGA;5;8;2023
98;DENAR;MKD;426;8;2023
99;KYAT;MMK;11;8;2023
100;TUGRIK;MNT;7;8;2023
101;PATACA;MOP;2948;8;2023
102;OUGUIYA;MRO;67;8;2023
103;MAURITUS RUPEE;MUR;521;8;2023
104;RUFIYAA;MVR;1541;8;2023
105;KWACHA;MWK;23;8;2023
106;MAXICAN PESO;MXN;1422;8;2023
107;MEXUNIDAD DE INVERSIOR;MXV;1422;8;2023
108;MALAYSIAN RINGGIT;MYR;5150;8;2023
109;MOZAMBICAN METICAL;MZN;376;8;2023
110;NAMIBIA DOLLAR;NAD;1350;8;2023
111;CORDOBA ORO;NIO;657;8;2023
112;NORWEGIAN KRONE;NOK;2292;8;2023
113;NEPALESE RUPEE;NPR;181;8;2023
114;NEWZELAND DOLLAR;NZD;14740;8;2023
115;NAIRA;NGN;31;8;2023
116;RIAL OMANI;OMR;62535;8;2023
117;BALBOA;PAB;23763;8;2023
118;NUEVO SOL;PEN;6638;8;2023
119;KINA;PGK;6423;8;2023
120;PAKISTAN RUPEE;PKR;85;8;2023
121;ZLOTY;PLN;5901;8;2023
122;GUARANI;PYG;3;8;2023
123;PHILIPINE PESO;PHP;434;8;2023
124;QATARI RIAL;QAR;6528;8;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;23763;8;2023
126;LEU;RON;5304;8;2023
127;RUSSIAN RUBLE (NEW);RUB;266;8;2023
128;RWANDA FRANC;RWF;20;8;2023
129;SAUDI RYAL;SAR;6337;8;2023
130;SOLOMON ISLANDS DOLLAR;SBD;2799;8;2023
131;SEYCHELLESS RUPEE;SCR;1723;8;2023
132;SUDANESE DINAR;SDD;119;8;2023
133;SDR;SDR;0;8;2023
134;SWEDISH KRONA;SEK;2251;8;2023
135;SINGAPORE DOLLAR;SGD;17750;8;2023
136;ST HELENA POUND;SHP;18421;8;2023
137;SLOVAKKORUNA;SKK;1103;8;2023
138;LEONE;SLL;1;8;2023
139;SOMA SHILING;SOS;42;8;2023
140;SURINAME DOLLAR;SRD;619;8;2023
141;DOBRA;STD;1;8;2023
142;EL SALVADOR COLON;SVC;2716;8;2023
143;SYRIAN POUND;SYP;9;8;2023
144;LILANGENI;SZL;1352;8;2023
145;TAJIK RUBLE;TJR;10;8;2023
146;MANAT;TMM;2;8;2023
147;TUNISIAN DINAR;TND;7715;8;2023
148;PAANGA;TOP;9860;8;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;3520;8;2023
150;NEW TAIWAN DOLLAR;TWD;763;8;2023
151;TANZANIAN SHILLING;TZS;10;8;2023
152;BAHT;THB;684;8;2023
153;NEW TURKISH LIRA;TRY;901;8;2023
154;HRYVNIA;UAH;644;8;2023
155;UGANDA SHILING;UGX;6;8;2023
156;RUP XO VIET;USR;261;8;2023
157;PESO URUGUAYO;UYU;630;8;2023
158;UZBEKISTAN SUM;uzs;2;8;2023
159;BOLIVAR;VEF;0;8;2023
160;VATU;vuv;204;8;2023
161;TALA;WST;8487;8;2023
162;CFA FRANC BEAC;XAF;40;8;2023
163;EAST CARIBEAN DOLLAR;XCD;8801;8;2023
164;CFA FRANC BEAC;XAF;40;8;2023
165;CFP FRANC;XPF;220;8;2023
166;YEMENI RIAL;YER;95;8;2023
167;RAND;ZAD;1350;8;2023
168;RAND;ZAR;1350;8;2023
169;KWACHA;ZMK;5;8;2023
;ĐÔLA Mỹ ;USD;23763;8;2023
1;UAE DIRHAM;AED;6457;7;2023
2;AFGHAN AFGHANI;AFN;276;7;2023
3;LEK;ALL;243;7;2023
4;ARMENIAN DRAM;AMD;62;7;2023
5;NETHANTILLIAN GUILDER;ANG;13327;7;2023
6;ANGOLAN KWANZA;AOA;29;7;2023
7;KWANZA REAJUSTADO;AOR;29;7;2023
8;ARGENTINE PESO;ARS;93;7;2023
9;AUSTRALIAN DOLLAR;AUD;15820;7;2023
10;ARUBAN GUILDER;AWG;13327;7;2023
11;AZERBAIJANIAN MANAT;AZN;13954;7;2023
12;CONVERTIBLE MARKS;BAM;13179;7;2023
13;BARBADOS DOLLAR;BBD;11861;7;2023
14;TAKA;BDT;219;7;2023
15;LEV;BGN;13197;7;2023
16;BAHARAINI DINAR;BHD;62427;7;2023
17;BURUNDI FRANC;BIF;8;7;2023
18;BERMUDIAN DOLLAR;BMD;23722;7;2023
19;BRUNEI DOLLAR;BND;17572;7;2023
20;BOLIVIANO;BOB;3458;7;2023
21;MVDOL;BOV;3458;7;2023
22;BRAZILIAN REAL;BRL;4841;7;2023
23;BAHAMIAN DOLLAR;BSD;23722;7;2023
24;NGULTRUM;BTN;289;7;2023
25;PULA;BWP;1756;7;2023
26;BELARUSIAN RUBLE;BYB;1;7;2023
27;BELIZE DOLLAR;BZD;11921;7;2023
28;CANADIAN DOLLAR;CAD;17706;7;2023
29;FRANC CONGOLAIS;CDF;10;7;2023
30;UNIDADES DE FOMENTO;CLF;30;7;2023
31;CHILEAN PESO;CLP;30;7;2023
32;YAN RENMINBI;CNY;3320;7;2023
33;COLOMBIAN PESO;COP;6;7;2023
34;COSTA RICAN COLON;CRC;44;7;2023
35;CZECH KORUNA;CZK;1088;7;2023
36;CUBAN PESO;CUP;988;7;2023
37;CAPE VERDE ESCUDO;CVE;234;7;2023
38;CZECH KORUNA;CZK;1088;7;2023
39;SWISS FRANC;CHF;26224;7;2023
40;EAST GERMAN MARK;DDM;10686;7;2023
41;DEUTSCH MARK;DEM;10686;7;2023
42;DJIBOUTI FRANC;DJF;134;7;2023
43;DANISH KRONE;DKK;3431;7;2023
44;DOMINICAN PESO;DOP;430;7;2023
45;ALGERIAN DINAR;DZD;175;7;2023
46;SUCRE;ECS;1;7;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;7;2023
48;EGYPTIAN POUND;EGP;769;7;2023
49;NAKFA;ERN;1581;7;2023
50;ETHIOPIAN BIRR;ETB;435;7;2023
51;EURO;EUR;25551;7;2023
52;FIJI DOLLAR;FJD;10450;7;2023
53;FALKLAND ISLANDS POUND;FKP;18827;7;2023
54;FRENCH FRANC;FRF;3193;7;2023
55;POUND STERLING;GBP;29755;7;2023
56;LARI;GEL;9159;7;2023
57;CEDI;GHC;3;7;2023
58;DALASI;GMD;393;7;2023
59;GUINEA FRANC;GNF;3;7;2023
60;QUETZAL;GTQ;3026;7;2023
61;GUINEA BISSAU PESO;GWP;0;7;2023
62;GUYANA DOLLAR;GYD;112;7;2023
63;GIBRALTAR POUND;GIP;18827;7;2023
64;HONGKONG DOLLAR;HKD;3028;7;2023
65;LEMPIRA;HNL;966;7;2023
66;KUNA;HRK;3370;7;2023
67;GOURDE;HTG;173;7;2023
68;FORINT;HUF;69;7;2023
69;RUPIAH;IDR;2;7;2023
70;NEW ISRAELI SHEKEL;ILS;6411;7;2023
71;INDIAN RUPEE;INR;288;7;2023
72;IRAQI DINAR;IQD;18;7;2023
73;IRANIAN RIAL;IRR;1;7;2023
74;ICELAND KRONA;ISK;173;7;2023
75;JAMACAN DOLLAR;JMD;155;7;2023
76;JORDANIAN DINAR;JOD;33412;7;2023
77;YEN;JPY;169;7;2023
78;KENYAN SHILING;KES;169;7;2023
79;SOM;KGS;272;7;2023
80;COMORO FRANC;KMF;52;7;2023
81;NORTH KOREAN WON;KPW;182;7;2023
82;WON;KRW;18;7;2023
83;KUWAITI DINAR;KWD;76524;7;2023
84;CAYMAN ISLANDS DOLLAR;KYD;28581;7;2023
85;TENGE;KZT;52;7;2023
86;RIEL;KHR;6;7;2023
87;KIP;LAK;1;7;2023
88;LIBIAN POUND;LBP;2;7;2023
89;SRILANCA RUPEE;LKR;77;7;2023
90;LIBERIAN DOLLAR;LRD;130;7;2023
91;LOTI;LSL;1266;7;2023
92;LITHUANIAN LITAS;LTL;8324;7;2023
93;LUXEMBOURG FRANC;LUF;519;7;2023
94;LEBANESE DINAR;LYD;4963;7;2023
95;MOROCCAN DIRHAM;MAD;2399;7;2023
96;MOLDOVAN LEU;MDL;1304;7;2023
97;MALAGASY ARIARY;MGA;5;7;2023
98;DENAR;MKD;424;7;2023
99;KYAT;MMK;11;7;2023
100;TUGRIK;MNT;7;7;2023
101;PATACA;MOP;2941;7;2023
102;OUGUIYA;MRO;67;7;2023
103;MAURITUS RUPEE;MUR;523;7;2023
104;RUFIYAA;MVR;1538;7;2023
105;KWACHA;ZMK;23;7;2023
106;MAXICAN PESO;MXN;1386;7;2023
107;MEXUNIDAD DE INVERSIOR;MXV;1386;7;2023
108;MALAYSIAN RINGGIT;MYR;5132;7;2023
109;MOZAMBICAN METICAL;MZN;375;7;2023
110;NAMIBIA DOLLAR;NAD;1267;7;2023
111;CORDOBA ORO;NIO;656;7;2023
112;NORWEGIAN KRONE;NOK;2171;7;2023
113;NEPALESE RUPEE;NPR;181;7;2023
114;NEWZELAND DOLLAR;NZD;14469;7;2023
115;NAIRA;NGN;32;7;2023
116;RIAL OMANI;OMR;62427;7;2023
117;BALBOA;PAB;23722;7;2023
118;NUEVO SOL;PEN;6553;7;2023
119;KINA;PGK;6465;7;2023
120;PAKISTAN RUPEE;PKR;83;7;2023
121;ZLOTY;PLN;5703;7;2023
122;GUARANI;PYG;3;7;2023
123;PHILIPINE PESO;PHP;429;7;2023
124;QATARI RIAL;QAR;6157;7;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;23722;7;2023
126;LEU;RON;5202;7;2023
127;RUSSIAN RUBLE (NEW);RUB;286;7;2023
128;RWANDA FRANC;RWF;21;7;2023
129;SAUDI RYAL;SAR;6326;7;2023
130;SOLOMON ISLANDS DOLLAR;SBD;2656;7;2023
131;SEYCHELLESS RUPEE;SCR;1785;7;2023
132;SUDANESE DINAR;SDD;119;7;2023
133;SDR;SDR;0;7;2023
134;SWEDISH KRONA;SEK;2190;7;2023
135;SINGAPORE DOLLAR;SGD;17603;7;2023
136;ST HELENA POUND;SHP;18827;7;2023
137;SLOVAKKORUNA;SKK;1101;7;2023
138;LEONE;SLL;1;7;2023
139;SOMA SHILING;SOS;42;7;2023
140;SURINAME DOLLAR;SRD;633;7;2023
141;DOBRA;STD;1;7;2023
142;EL SALVADOR COLON;SVC;2711;7;2023
143;SYRIAN POUND;SYP;9;7;2023
144;LILANGENI;SZL;1265;7;2023
145;TAJIK RUBLE;TJR;10;7;2023
146;MANAT;TMM;2;7;2023
147;TUNISIAN DINAR;TND;7677;7;2023
148;PAANGA;TOP;9843;7;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;3520;7;2023
150;NEW TAIWAN DOLLAR;TWD;770;7;2023
151;TANZANIAN SHILLING;TZS;10;7;2023
152;BAHT;THB;682;7;2023
153;NEW TURKISH LIRA;TRY;1056;7;2023
154;HRYVNIA;UAH;642;7;2023
155;UGANDA SHILING;UGX;6;7;2023
156;RUP XO VIET;USR;273;7;2023
157;PESO URUGUAYO;UYU;631;7;2023
158;UZBEKISTAN SUM;UZS;2;7;2023
159;BOLIVAR;VEF;0;7;2023
160;VATU;VUV;200;7;2023
161;TALA;WST;8626;7;2023
162;CFA FRANC BEAC;XAF;39;7;2023
163;EAST CARIBEAN DOLLAR;XCD;8786;7;2023
164;CFA FRANC BEAC;XAF;39;7;2023
165;CFP FRANC;XPF;217;7;2023
166;YEMENI RIAL;YER;95;7;2023
167;RAND;ZAD;1267;7;2023
168;RAND;ZAR;1265;7;2023
169;KWACHA;ZMK;5;7;2023
;ĐÔLA Mỹ ;USD;23722;7;2023
1;UAE DIRHAM;AED;6440;6;2023
2;AFGHAN AFGHANI;AFN;272;6;2023
3;LEK;ALL;228;6;2023
4;ARMENIAN DRAM;AMD;61;6;2023
5;NETHANTILLIAN GUILDER;ANG;13271;6;2023
6;ANGOLAN KWANZA;AOA;47;6;2023
7;KWANZA REAJUSTADO;AOR;47;6;2023
8;ARGENTINE PESO;ARS;113;6;2023
9;AUSTRALIAN DOLLAR;AUD;15748;6;2023
10;ARUBAN GUILDER;AWG;13271;6;2023
11;AZERBAIJANIAN MANAT;AZN;13896;6;2023
12;CONVERTIBLE MARKS;BAM;13197;6;2023
13;BARBADOS DOLLAR;BBD;11812;6;2023
14;TAKA;BDT;220;6;2023
15;LEV;BGN;13197;6;2023
16;BAHARAINI DINAR;BHD;62166;6;2023
17;BURUNDI FRANC;BIF;11;6;2023
18;BERMUDIAN DOLLAR;BMD;23623;6;2023
19;BRUNEI DOLLAR;BND;17762;6;2023
20;BOLIVIANO;BOB;3449;6;2023
21;MVDOL;BOV;3449;6;2023
22;BRAZILIAN REAL;BRL;4737;6;2023
23;BAHAMIAN DOLLAR;BSD;23623;6;2023
24;NGULTRUM;BTN;288;6;2023
25;PULA;BWP;1807;6;2023
26;BELARUSIAN RUBLE;BYB;1;6;2023
27;BELIZE DOLLAR;BZD;11871;6;2023
28;CANADIAN DOLLAR;CAD;17496;6;2023
29;FRANC CONGOLAIS;CDF;11;6;2023
30;UNIDADES DE FOMENTO;CLF;30;6;2023
31;CHILEAN PESO;CLP;30;6;2023
32;YAN RENMINBI;CNY;3396;6;2023
33;COLOMBIAN PESO;COP;5;6;2023
34;COSTA RICAN COLON;CRC;44;6;2023
35;CZECH KORUNA;CZK;1096;6;2023
36;CUBAN PESO;CUP;984;6;2023
37;CAPE VERDE ESCUDO;CVE;234;6;2023
38;CZECH KORUNA;CZK;1096;6;2023
39;SWISS FRANC;CHF;26459;6;2023
40;EAST GERMAN MARK;DDM;10641;6;2023
41;DEUTSCH MARK;DEM;10641;6;2023
42;DJIBOUTI FRANC;DJF;133;6;2023
43;DANISH KRONE;DKK;3468;6;2023
44;DOMINICAN PESO;DOP;432;6;2023
45;ALGERIAN DINAR;DZD;175;6;2023
46;SUCRE;ECS;1;6;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;6;2023
48;EGYPTIAN POUND;EGP;768;6;2023
49;NAKFA;ERN;1575;6;2023
50;ETHIOPIAN BIRR;ETB;438;6;2023
51;EURO;EUR;25825;6;2023
52;FIJI DOLLAR;FJD;155;6;2023
53;FALKLAND ISLANDS POUND;FKP;68;6;2023
54;FRENCH FRANC;FRF;2;6;2023
55;POUND STERLING;GBP;29564;6;2023
56;LARI;GEL;287;6;2023
57;CEDI;GHC;18;6;2023
58;DALASI;GMD;1;6;2023
59;GUINEA FRANC;GNF;174;6;2023
60;QUETZAL;GTQ;157;6;2023
61;GUINEA BISSAU PESO;GWP;33272;6;2023
62;GUYANA DOLLAR;GYD;175;6;2023
63;GIBRALTAR POUND;GIP;179;6;2023
64;HONGKONG DOLLAR;HKD;3017;6;2023
65;LEMPIRA;HNL;52;6;2023
66;KUNA;HRK;182;6;2023
67;GOURDE;HTG;18;6;2023
68;FORINT;HUF;76203;6;2023
69;RUPIAH;IDR;2;6;2023
70;NEW ISRAELI SHEKEL;ILS;6;6;2023
71;INDIAN RUPEE;INR;288;6;2023
72;IRAQI DINAR;IQD;2;6;2023
73;IRANIAN RIAL;IRR;72;6;2023
74;ICELAND KRONA;ISK;144;6;2023
75;JAMACAN DOLLAR;JMD;1327;6;2023
76;JORDANIAN DINAR;JOD;8289;6;2023
77;YEN;JPY;174;6;2023
78;KENYAN SHILING;KES;4952;6;2023
79;SOM;KGS;2316;6;2023
80;COMORO FRANC;KMF;1289;6;2023
81;NORTH KOREAN WON;KPW;5;6;2023
82;WON;KRW;18;6;2023
83;KUWAITI DINAR;KWD;11;6;2023
84;CAYMAN ISLANDS DOLLAR;KYD;7;6;2023
85;TENGE;KZT;2924;6;2023
86;RIEL;KHR;6;6;2023
87;KIP;LAK;1;6;2023
88;LIBIAN POUND;LBP;1532;6;2023
89;SRILANCA RUPEE;LKR;23;6;2023
90;LIBERIAN DOLLAR;LRD;1306;6;2023
91;LOTI;LSL;1306;6;2023
92;LITHUANIAN LITAS;LTL;5275;6;2023
93;LUXEMBOURG FRANC;LUF;374;6;2023
94;LEBANESE DINAR;LYD;1326;6;2023
95;MOROCCAN DIRHAM;MAD;653;6;2023
96;MOLDOVAN LEU;MDL;180;6;2023
97;MALAGASY ARIARY;MGA;14629;6;2023
98;DENAR;MKD;51;6;2023
99;KYAT;MMK;60572;6;2023
100;TUGRIK;MNT;23623;6;2023
101;PATACA;MOP;2928;6;2023
102;OUGUIYA;MRO;6526;6;2023
103;MAURITUS RUPEE;MUR;83;6;2023
104;RUFIYAA;MVR;5368;6;2023
105;KWACHA;ZMK;3;6;2023
106;MAXICAN PESO;MXN;435;6;2023
107;MEXUNIDAD DE INVERSIOR;MXV;6490;6;2023
108;MALAYSIAN RINGGIT;MYR;5262;6;2023
109;MOZAMBICAN METICAL;MZN;5215;6;2023
110;NAMIBIA DOLLAR;NAD;311;6;2023
111;CORDOBA ORO;NIO;22;6;2023
112;NORWEGIAN KRONE;NOK;2201;6;2023
113;NEPALESE RUPEE;NPR;2645;6;2023
114;NEWZELAND DOLLAR;NZD;14732;6;2023
115;NAIRA;NGN;0;6;2023
116;RIAL OMANI;OMR;2254;6;2023
117;BALBOA;PAB;17583;6;2023
118;NUEVO SOL;PEN;19051;6;2023
119;KINA;PGK;1096;6;2023
120;PAKISTAN RUPEE;PKR;1;6;2023
121;ZLOTY;PLN;5696;6;2023
122;GUARANI;PYG;659;6;2023
123;PHILIPINE PESO;PHP;1;6;2023
124;QATARI RIAL;QAR;2700;6;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;9;6;2023
126;LEU;RON;1326;6;2023
127;RUSSIAN RUBLE (NEW);RUB;297;6;2023
128;RWANDA FRANC;RWF;2;6;2023
129;SAUDI RYAL;SAR;7620;6;2023
130;SOLOMON ISLANDS DOLLAR;SBD;9682;6;2023
131;SEYCHELLESS RUPEE;SCR;3500;6;2023
132;SUDANESE DINAR;SDD;772;6;2023
133;SDR;SDR;10;6;2023
134;SWEDISH KRONA;SEK;2283;6;2023
135;SINGAPORE DOLLAR;SGD;17690;6;2023
136;ST HELENA POUND;SHP;640;6;2023
137;SLOVAKKORUNA;SKK;6;6;2023
138;LEONE;SLL;307;6;2023
139;SOMA SHILING;SOS;608;6;2023
140;SURINAME DOLLAR;SRD;2;6;2023
141;DOBRA;STD;0;6;2023
142;EL SALVADOR COLON;SVC;202;6;2023
143;SYRIAN POUND;SYP;8497;6;2023
144;LILANGENI;SZL;39;6;2023
145;TAJIK RUBLE;TJR;8749;6;2023
146;MANAT;TMM;39;6;2023
147;TUNISIAN DINAR;TND;217;6;2023
148;PAANGA;TOP;94;6;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;1326;6;2023
150;NEW TAIWAN DOLLAR;TWD;769;6;2023
151;TANZANIAN SHILLING;TZS;10;6;2023
152;BAHT;THB;693;6;2023
153;NEW TURKISH LIRA;TRY;1205;6;2023
154;HRYVNIA;UAH;641;6;2023
155;UGANDA SHILING;UGX;6;6;2023
156;RUP XO VIET;USR;315;6;2023
157;PESO URUGUAYO;UYU;610;6;2023
158;UZBEKISTAN SUM;UZS;2;6;2023
159;BOLIVAR;VEF;0;6;2023
160;VATU;VUV;198;6;2023
161;TALA;WST;8604;6;2023
162;CFA FRANC BEAC;XAF;39;6;2023
163;EAST CARIBEAN DOLLAR;XCD;8763;6;2023
164;CFA FRANC BEAC;XAF;39;6;2023
165;CFP FRANC;XPF;213;6;2023
166;YEMENI RIAL;YER;95;6;2023
167;RAND;ZAR;1198;6;2023
168;KWACHA;ZMK;3;6;2023
;ĐÔLA Mỹ ;USD;23660;6;2023
1;UAE DIRHAM;AED;6430;5;2023
2;AFGHAN AFGHANI;AFN;272;5;2023
3;LEK;ALL;228;5;2023
4;ARMENIAN DRAM;AMD;61;5;2023
5;NETHANTILLIAN GUILDER;ANG;13271;5;2023
6;ANGOLAN KWANZA;AOA;47;5;2023
7;KWANZA REAJUSTADO;AOR;47;5;2023
8;ARGENTINE PESO;ARS;113;5;2023
9;AUSTRALIAN DOLLAR;AUD;15799;5;2023
10;ARUBAN GUILDER;AWG;13271;5;2023
11;AZERBAIJANIAN MANAT;AZN;13896;5;2023
12;CONVERTIBLE MARKS;BAM;13197;5;2023
13;BARBADOS DOLLAR;BBD;11812;5;2023
14;TAKA;BDT;220;5;2023
15;LEV;BGN;13197;5;2023
16;BAHARAINI DINAR;BHD;62166;5;2023
17;BURUNDI FRANC;BIF;11;5;2023
18;BERMUDIAN DOLLAR;BMD;23623;5;2023
19;BRUNEI DOLLAR;BND;17762;5;2023
20;BOLIVIANO;BOB;3449;5;2023
21;MVDOL;BOV;3449;5;2023
22;BRAZILIAN REAL;BRL;4665;5;2023
23;BAHAMIAN DOLLAR;BSD;23623;5;2023
24;NGULTRUM;BTN;288;5;2023
25;PULA;BWP;1807;5;2023
26;BELARUSIAN RUBLE;BYB;1;5;2023
27;BELIZE DOLLAR;BZD;11871;5;2023
28;CANADIAN DOLLAR;CAD;17500;5;2023
29;FRANC CONGOLAIS;CDF;11;5;2023
30;UNIDADES DE FOMENTO;CLF;30;5;2023
31;CHILEAN PESO;CLP;30;5;2023
32;YAN RENMINBI;CNY;3428;5;2023
33;COLOMBIAN PESO;COP;5;5;2023
34;COSTA RICAN COLON;CRC;44;5;2023
35;CZECH KORUNA;CZK;1096;5;2023
36;CUBAN PESO;CUP;984;5;2023
37;CAPE VERDE ESCUDO;CVE;234;5;2023
38;CZECH KORUNA;CZK;1096;5;2023
39;SWISS FRANC;CHF;26059;5;2023
40;EAST GERMAN MARK;DDM;10641;5;2023
41;DEUTSCH MARK;DEM;10641;5;2023
42;DJIBOUTI FRANC;DJF;133;5;2023
43;DANISH KRONE;DKK;3460;5;2023
44;DOMINICAN PESO;DOP;432;5;2023
45;ALGERIAN DINAR;DZD;175;5;2023
46;SUCRE;ECS;1;5;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;5;2023
48;EGYPTIAN POUND;EGP;768;5;2023
49;NAKFA;ERN;1575;5;2023
50;ETHIOPIAN BIRR;ETB;438;5;2023
51;EURO;EUR;25773;5;2023
52;FIJI DOLLAR;FJD;155;5;2023
53;FALKLAND ISLANDS POUND;FKP;68;5;2023
54;FRENCH FRANC;FRF;2;5;2023
55;POUND STERLING;GBP;29331;5;2023
56;LARI;GEL;287;5;2023
57;CEDI;GHC;18;5;2023
58;DALASI;GMD;1;5;2023
59;GUINEA FRANC;GNF;174;5;2023
60;QUETZAL;GTQ;157;5;2023
61;GUINEA BISSAU PESO;GWP;33272;5;2023
62;GUYANA DOLLAR;GYD;175;5;2023
63;GIBRALTAR POUND;GIP;179;5;2023
64;HONGKONG DOLLAR;HKD;3008;5;2023
65;LEMPIRA;HNL;52;5;2023
66;KUNA;HRK;182;5;2023
67;GOURDE;HTG;18;5;2023
68;FORINT;HUF;76203;5;2023
69;RUPIAH;IDR;2;5;2023
70;NEW ISRAELI SHEKEL;ILS;6;5;2023
71;INDIAN RUPEE;INR;287;5;2023
72;IRAQI DINAR;IQD;2;5;2023
73;IRANIAN RIAL;IRR;72;5;2023
74;ICELAND KRONA;ISK;144;5;2023
75;JAMACAN DOLLAR;JMD;1327;5;2023
76;JORDANIAN DINAR;JOD;8289;5;2023
77;YEN;JPY;178;5;2023
78;KENYAN SHILING;KES;4952;5;2023
79;SOM;KGS;2316;5;2023
80;COMORO FRANC;KMF;1289;5;2023
81;NORTH KOREAN WON;KPW;5;5;2023
82;WON;KRW;18;5;2023
83;KUWAITI DINAR;KWD;11;5;2023
84;CAYMAN ISLANDS DOLLAR;KYD;7;5;2023
85;TENGE;KZT;2924;5;2023
86;RIEL;KHR;6;5;2023
87;KIP;LAK;1;5;2023
88;LIBIAN POUND;LBP;1532;5;2023
89;SRILANCA RUPEE;LKR;23;5;2023
90;LIBERIAN DOLLAR;LRD;1306;5;2023
91;LOTI;LSL;1306;5;2023
92;LITHUANIAN LITAS;LTL;5275;5;2023
93;LUXEMBOURG FRANC;LUF;374;5;2023
94;LEBANESE DINAR;LYD;1326;5;2023
95;MOROCCAN DIRHAM;MAD;653;5;2023
96;MOLDOVAN LEU;MDL;180;5;2023
97;MALAGASY ARIARY;MGA;14629;5;2023
98;DENAR;MKD;51;5;2023
99;KYAT;MMK;60572;5;2023
100;TUGRIK;MNT;23623;5;2023
101;PATACA;MOP;2921;5;2023
102;OUGUIYA;MRO;6526;5;2023
103;MAURITUS RUPEE;MUR;83;5;2023
104;RUFIYAA;MVR;5368;5;2023
105;KWACHA;ZMK;3;5;2023
106;MAXICAN PESO;MXN;435;5;2023
107;MEXUNIDAD DE INVERSIOR;MXV;6490;5;2023
108;MALAYSIAN RINGGIT;MYR;5349;5;2023
109;MOZAMBICAN METICAL;MZN;5215;5;2023
110;NAMIBIA DOLLAR;NAD;311;5;2023
111;CORDOBA ORO;NIO;22;5;2023
112;NORWEGIAN KRONE;NOK;2259;5;2023
113;NEPALESE RUPEE;NPR;2645;5;2023
114;NEWZELAND DOLLAR;NZD;14729;5;2023
115;NAIRA;NGN;0;5;2023
116;RIAL OMANI;OMR;2254;5;2023
117;BALBOA;PAB;17583;5;2023
118;NUEVO SOL;PEN;19051;5;2023
119;KINA;PGK;1096;5;2023
120;PAKISTAN RUPEE;PKR;1;5;2023
121;ZLOTY;PLN;5531;5;2023
122;GUARANI;PYG;659;5;2023
123;PHILIPINE PESO;PHP;1;5;2023
124;QATARI RIAL;QAR;2700;5;2023
125;RÚP CHUYỂN NHƯỢNG;RCN;9;5;2023
126;LEU;RON;1326;5;2023
127;RUSSIAN RUBLE (NEW);RUB;295;5;2023
128;RWANDA FRANC;RWF;2;5;2023
129;SAUDI RYAL;SAR;7620;5;2023
130;SOLOMON ISLANDS DOLLAR;SBD;9682;5;2023
131;SEYCHELLESS RUPEE;SCR;3500;5;2023
132;SUDANESE DINAR;SDD;772;5;2023
133;SDR;SDR;10;5;2023
134;SWEDISH KRONA;SEK;2282;5;2023
135;SINGAPORE DOLLAR;SGD;17743;5;2023
136;ST HELENA POUND;SHP;640;5;2023
137;SLOVAKKORUNA;SKK;6;5;2023
138;LEONE;SLL;307;5;2023
139;SOMA SHILING;SOS;608;5;2023
140;SURINAME DOLLAR;SRD;2;5;2023
141;DOBRA;STD;0;5;2023
142;EL SALVADOR COLON;SVC;202;5;2023
143;SYRIAN POUND;SYP;8497;5;2023
144;LILANGENI;SZL;39;5;2023
145;TAJIK RUBLE;TJR;8749;5;2023
146;MANAT;TMM;39;5;2023
147;TUNISIAN DINAR;TND;217;5;2023
148;PAANGA;TOP;94;5;2023
149;TRINIDAD &TOBACO DOLLAR;TTD;1326;5;2023
150;NEW TAIWAN DOLLAR;TWD;774;5;2023
151;TANZANIAN SHILLING;TZS;423;5;2023
152;BAHT;THB;691;5;2023
153;NEW TURKISH LIRA;TRY;1226;5;2023
154;HRYVNIA;UAH;13265;5;2023
155;UGANDA SHILING;UGX;10494;5;2023
